PNODE_ID,TAC_AREA_NAME,UNMATCHED_REASON,TRADING_HUB,PNODE_ID_LOWER,PNODE_ID_STRIPPED,PNODE_ID_LEN
SYCCYN2G_7_B1,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,syccyn2g_7_b1,SYCCYN2G_7_B1,13
SYCCYN1G_7_B1,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,syccyn1g_7_b1,SYCCYN1G_7_B1,13
OMAR4G_7_B1,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,omar4g_7_b1,OMAR4G_7_B1,11
CONTROLX_1_N004,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,controlx_1_n004,CONTROLX_1_N004,15
INDIGOG3_7_B1,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,indigog3_7_b1,INDIGOG3_7_B1,13
PTS7SWNG_7_B2,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,pts7swng_7_b2,PTS7SWNG_7_B2,13
BDLRKSP2_7_B1,SOUTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,bdlrksp2_7_b1,BDLRKSP2_7_B1,13
CPBORDER_7_B1,SOUTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,cpborder_7_b1,CPBORDER_7_B1,13
LAPLMG3_7_B2,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,laplmg3_7_b2,LAPLMG3_7_B2,12
CAPTJACK_5_N015,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,captjack_5_n015,CAPTJACK_5_N015,15
AGUAMNSA_7_B1,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,aguamnsa_7_b1,AGUAMNSA_7_B1,13
CRAGVIEW_1_N101,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,cragview_1_n101,CRAGVIEW_1_N101,15
CAPTJACK_5_N510,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,captjack_5_n510,CAPTJACK_5_N510,15
MHVSPHN_1_N101,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,mhvsphn_1_n101,MHVSPHN_1_N101,14
NCPA2GY1_7_B2,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,ncpa2gy1_7_b2,NCPA2GY1_7_B2,13
GEOENGY_7_B3,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,geoengy_7_b3,GEOENGY_7_B3,12
GEYSER14_7_N001,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,geyser14_7_n001,GEYSER14_7_N001,15
GEYSER14_7_N001,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,geyser14_7_n001,GEYSER14_7_N001,15
GEYSER18_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,geyser18_7_b1,GEYSER18_7_B1,13
HISIERRA_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,hisierra_7_b1,HISIERRA_7_B1,13
ROCKCK2_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,rockck2_7_b1,ROCKCK2_7_B1,12
PIT7U2_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,pit7u2_7_b1,PIT7U2_7_B1,11
PIT6U1_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,pit6u1_7_b1,PIT6U1_7_B1,11
CHIPARK_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,chipark_7_b1,CHIPARK_7_B1,12
UNOCAL_7_N002,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,unocal_7_n002,UNOCAL_7_N002,13
UNIVRSTY_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,univrsty_7_b1,UNIVRSTY_7_B1,13
BADGERCK_7_N001,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,badgerck_7_n001,BADGERCK_7_N001,15
PSE-BEAR_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,pse-bear_7_b1,PSE-BEAR_7_B1,13
FLOWND1_1_N01,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,flownd1_1_n01,FLOWND1_1_N01,13
DINUBAE_7_B2,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,dinubae_7_b2,DINUBAE_7_B2,12
FORKBUTT_7_B1,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,forkbutt_7_b1,FORKBUTT_7_B1,13
YELCOGEN_1_YC10GNODE,NWMT,"in TAC map, not in hub map (load/intertie PNodes expected)",,yelcogen_1_yc10gnode,YELCOGEN_1_YC10GNODE,20
GLDTGEN_7_N002,ECNTR,"in TAC map, not in hub map (load/intertie PNodes expected)",,gldtgen_7_n002,GLDTGEN_7_N002,14
Q633C1_7_N001,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,q633c1_7_n001,Q633C1_7_N001,13
DAVEJOHN_NODE2,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,davejohn_node2,DAVEJOHN_NODE2,14
GADSBY_NODE4,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,gadsby_node4,GADSBY_NODE4,12
ONEIDA_NODE1,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,oneida_node1,ONEIDA_NODE1,12
