INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1564,ACTUAL,1
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1516,ACTUAL,1
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1270,ACTUAL,1
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1545,ACTUAL,1
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1464,ACTUAL,1
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1368,ACTUAL,1
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1315,ACTUAL,1
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1418,ACTUAL,1
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
